MinimaxAgent,4,mediumClassic,1742.86,1.63E-01
MinimaxAgent,4,minimaxClassic,512.71,2.43E-02
MinimaxAgent,4,smallClassic,1423,2.40E-01
MinimaxAgent,4,testClassic,546,2.42E-01
MinimaxAgent,4,contestClassic,1365.57,9.23E-02
MinimaxAgent,4,trickyClassic,1523.43,1.08E+00
MinimaxAgent,4,openClassic,-615.86,2.13E+00
MinimaxAgent,4,originalClassic,1403.86,8.35E-02
RandomExpectimaxAgent,4,capsuleClassic,712,4.24E-02
RandomExpectimaxAgent,4,trappedClassic,88.86,9.03E-04
RandomExpectimaxAgent,4,smallClassic,1701.86,2.34E-01
RandomExpectimaxAgent,4,testClassic,562.57,2.13E-01
RandomExpectimaxAgent,4,mediumClassic,1982.14,1.56E-01
RandomExpectimaxAgent,4,minimaxClassic,371.86,1.65E-02
RandomExpectimaxAgent,4,contestClassic,1834.86,1.04E-01
RandomExpectimaxAgent,4,trickyClassic,1499.57,1.00E+00
RandomExpectimaxAgent,4,openClassic,-824.71,2.02E+00
RandomExpectimaxAgent,4,originalClassic,1589.29,8.13E-02
